Title:,Healthy,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-1.085427,0.850827,0.001387,,,,,,
-0.161817,0.851215,-0.000028,,,,,,
1.034862,0.850777,0.003502,,,,,,
1.70687,0.851232,0.003689,,,,,,
1.335738,0.850057,0.002405,,,,,,
0.846707,0.850504,0.001788,,,,,,
0.444566,0.849548,0.004299,,,,,,
-0.216232,0.850574,0.004548,,,,,,
-1.054862,0.849317,0.002917,,,,,,
-1.286117,0.851163,-0.000234,,,,,,
-1.214499,0.8491,0.004367,,,,,,
-0.918099,0.85151,0.003428,,,,,,
-0.017931,0.848788,0.003883,,,,,,
0.773111,0.852359,0.003861,,,,,,
0.988122,0.847772,0.003786,,,,,,
1.013162,0.85197,0.001675,,,,,,
1.021106,0.845793,0.000393,,,,,,
0.606287,0.854243,0.00033,,,,,,
-0.117195,0.844255,-0.001883,,,,,,
-0.740153,0.856841,0.001335,,,,,,
-1.125386,0.841012,-0.000131,,,,,,
-1.192519,0.859295,0.002999,,,,,,
-0.795197,0.8387,-0.002028,,,,,,
0.017146,0.863477,-0.000995,,,,,,
0.979653,0.833273,0.002134,,,,,,
1.227136,0.867903,-0.002095,,,,,,
0.904422,0.826306,0.003873,,,,,,
0.531376,0.87526,-0.001239,,,,,,
0.349763,0.818188,0.005359,,,,,,
-0.356845,0.886212,-0.001544,,,,,,
-1.393447,0.805289,0.003009,,,,,,
-1.36796,0.901102,-0.001237,,,,,,
-0.518074,0.785412,0.00279,,,,,,
0.208014,0.927442,0.001525,,,,,,
0.737411,0.747129,0.001701,,,,,,
0.953787,0.985468,0.003816,,,,,,
0.668899,0.643105,0.002782,,,,,,
0.170555,1.227625,0.0017,,,,,,
-0.253885,-0.903468,0.001063,,,,,,
-0.724546,-5.687504,0.005537,,,,,,
-1.189734,-5.117168,0.00362,,,,,,
-0.894808,-5.452706,0.005625,,,,,,
-0.343996,-5.216197,0.002548,,,,,,
0.315016,-5.400086,0.003532,,,,,,
0.969533,-5.253087,0.002381,,,,,,
1.160346,-5.374924,0.004803,,,,,,
0.836421,-5.271295,0.003929,,,,,,
0.495509,-5.362627,0.000759,,,,,,
0.242703,-5.27749,0.004517,,,,,,
-0.271668,-5.361206,0.002468,,,,,,
-0.74175,-5.263407,0.005457,,,,,,
-1.045098,-5.41772,0.004886,,,,,,
-1.089808,-4.765698,0.006504,,,,,,
-0.897977,0.495048,0.006514,,,,,,
-0.355266,0.932491,0.005348,,,,,,
0.600945,0.805479,0.002442,,,,,,
1.130692,0.876878,0.003022,,,,,,
1.22954,0.832679,0.002605,,,,,,
1.136521,0.866315,0.003506,,,,,,
0.750716,0.842139,0.00489,,,,,,
0.137651,0.861306,0.001822,,,,,,
-0.326498,0.846268,0.006133,,,,,,
-1.097273,0.85846,0.000343,,,,,,
-1.461571,0.847848,0.003893,,,,,,
-1.189804,0.856283,0.003306,,,,,,
-0.792536,0.848898,0.002499,,,,,,
0.044559,0.854812,0.004222,,,,,,
1.098485,0.850379,-0.000287,,,,,,
1.201867,0.854024,-0.004001,,,,,,
0.751266,0.851415,0.002333,,,,,,
0.585373,0.854386,-0.001555,,,,,,
0.650744,0.851494,-0.002945,,,,,,
