Title:,Healthy,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.020906,0.867034,0.007776,,,,,,
-0.019734,0.867344,-0.013075,,,,,,
-0.026262,0.867339,-0.002628,,,,,,
0.01346,0.868078,0.003802,,,,,,
-0.012977,0.86658,0.000509,,,,,,
-0.021184,0.86371,0.003448,,,,,,
-0.00714,0.862283,-0.005886,,,,,,
-0.020895,0.861389,-0.001618,,,,,,
-0.043573,0.86078,0.003659,,,,,,
-0.076131,0.860291,0.003529,,,,,,
-0.061334,0.860637,-0.002297,,,,,,
-0.009749,0.860263,0.002319,,,,,,
0.050057,0.860521,0.002395,,,,,,
0.088033,0.860082,0.004832,,,,,,
0.090285,0.860061,-0.000197,,,,,,
0.050246,0.859562,0.003364,,,,,,
-0.006062,0.860311,0.003414,,,,,,
-0.007077,0.86063,0.00158,,,,,,
0.032335,0.861602,0.003505,,,,,,
0.058962,0.861603,0.003749,,,,,,
0.061899,0.865694,0.002866,,,,,,
0.089305,0.866924,0.003325,,,,,,
0.094473,0.866665,0.001033,,,,,,
0.067586,0.867179,0.003517,,,,,,
0.013996,0.866438,0.004414,,,,,,
-0.024018,0.866911,0.003619,,,,,,
-0.036359,0.866167,0.004912,,,,,,
-0.003294,0.865838,0.004244,,,,,,
-0.013941,0.865442,0.004631,,,,,,
-0.069203,0.865478,0.002464,,,,,,
-0.082821,0.865732,0.002908,,,,,,
-0.025701,0.866138,0.003859,,,,,,
0.004613,0.86607,0.004237,,,,,,
0.008958,0.866439,0.006132,,,,,,
0.017927,0.866201,0.004462,,,,,,
0.030378,0.866037,0.004748,,,,,,
-0.026032,0.866044,0.002862,,,,,,
-0.068197,0.865276,0.005196,,,,,,
-0.042822,0.861895,0.005817,,,,,,
-0.044099,0.860035,0.00511,,,,,,
-0.023953,0.85976,0.002668,,,,,,
-0.004986,0.85912,0.004362,,,,,,
0.025929,0.859246,0.005317,,,,,,
0.020214,0.859395,0.005648,,,,,,
0.011283,0.859474,0.005826,,,,,,
0.012391,0.859367,0.004525,,,,,,
0.00051,0.858415,0.006128,,,,,,
0.015294,0.858583,0.004422,,,,,,
0.04508,0.858679,0.005978,,,,,,
0.057877,0.858174,0.004881,,,,,,
0.04159,0.858545,0.002758,,,,,,
0.048779,0.85872,0.001553,,,,,,
0.064995,0.858924,0.000883,,,,,,
0.072174,0.859309,-0.001904,,,,,,
0.067174,0.86289,0.002278,,,,,,
0.073258,0.864457,-0.007013,,,,,,
0.04144,0.864079,0.000707,,,,,,
0.007482,0.864466,0.005754,,,,,,
-0.010696,0.863771,0.001152,,,,,,
-0.027087,0.863763,0.00021,,,,,,
-0.07537,0.863189,0.003399,,,,,,
-0.115807,0.863465,-0.000243,,,,,,
-0.058393,0.863718,-0.002271,,,,,,
-0.010185,0.864113,-0.000739,,,,,,
0.010336,0.864149,0.001829,,,,,,
0.024838,0.863781,0.004738,,,,,,
0.050791,0.863078,0.001898,,,,,,
0.03901,0.86226,0.005114,,,,,,
-0.039175,0.858865,0.005865,,,,,,
-0.156727,0.857865,0.003723,,,,,,
-0.20302,0.857304,0.001997,,,,,,
-0.116036,0.856455,0.004229,,,,,,
0.001503,0.856745,0.004725,,,,,,
