Title:,Healthy,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
0.028087,0.824238,0.002321,,,,,,
-0.670509,0.823661,0.001527,,,,,,
-0.997939,0.823425,0.001067,,,,,,
-1.338137,0.822858,0.00619,,,,,,
-1.214483,0.824434,-0.001006,,,,,,
-0.341601,0.826974,0.002362,,,,,,
0.587947,0.828458,0.000861,,,,,,
0.967054,0.828524,0.000667,,,,,,
1.294532,0.827717,0.002217,,,,,,
1.380094,0.826876,0.000242,,,,,,
0.558297,0.825804,0.001919,,,,,,
-0.547671,0.825481,0.000651,,,,,,
-1.039321,0.824374,-0.002069,,,,,,
-1.019665,0.824943,0.003759,,,,,,
-0.881759,0.824532,0.003045,,,,,,
-0.459847,0.824331,0.003161,,,,,,
0.168497,0.825948,0.006547,,,,,,
0.65912,0.826009,0.000972,,,,,,
0.935771,0.826251,0.00476,,,,,,
1.094368,0.825346,-0.000712,,,,,,
0.922574,0.824078,-0.001771,,,,,,
0.143941,0.823461,0.002774,,,,,,
-0.634194,0.822072,-0.001331,,,,,,
-0.81053,0.822693,-0.000214,,,,,,
-0.970526,0.82102,0.003288,,,,,,
-1.059357,0.822997,0.003479,,,,,,
-0.478511,0.821056,0.001314,,,,,,
0.448392,0.823891,0.002994,,,,,,
0.999602,0.821004,0.002988,,,,,,
0.967264,0.824822,-0.002105,,,,,,
0.640859,0.820597,-0.003024,,,,,,
0.222122,0.825906,0.0052,,,,,,
-0.258461,0.818614,-0.003345,,,,,,
-0.510131,0.826274,0.002223,,,,,,
-0.573133,0.81643,0.002708,,,,,,
-0.722917,0.833563,0.003318,,,,,,
-0.470901,0.834166,0.001578,,,,,,
0.155863,0.849247,0.00206,,,,,,
0.421347,0.83383,-0.000944,,,,,,
0.3374,0.853346,-0.002114,,,,,,
0.268339,0.830162,0.001128,,,,,,
0.290977,0.855496,0.004469,,,,,,
0.211651,0.826369,0.005691,,,,,,
0.173167,0.853286,0.002253,,,,,,
0.113504,0.846946,0.000853,,,,,,
-0.333695,0.572483,0.004866,,,,,,
-0.845518,-4.765857,0.00209,,,,,,
-0.943137,-5.506077,0.003295,,,,,,
-0.483113,-5.283419,0.000231,,,,,,
0.280424,-5.404559,0.000455,,,,,,
0.931436,-5.323441,0.001444,,,,,,
1.094051,-5.377783,0.003526,,,,,,
0.778404,-5.341762,0.001059,,,,,,
0.224997,-5.368439,-0.001932,,,,,,
-0.161291,-5.352223,0.004564,,,,,,
-0.435527,-5.363414,0.001778,,,,,,
-0.761814,-5.359887,0.00196,,,,,,
-0.978126,-5.361088,0.000401,,,,,,
-0.842983,-5.358855,0.001066,,,,,,
-0.298708,-5.394827,0.001954,,,,,,
0.498229,-5.026434,0.000302,,,,,,
1.108564,0.290598,0.003132,,,,,,
1.164387,0.981358,0.000394,,,,,,
0.854953,0.762462,0.001418,,,,,,
0.217537,0.888339,-0.000686,,,,,,
-0.374128,0.806983,0.000793,,,,,,
-0.760063,0.867857,0.004775,,,,,,
-1.061782,0.821556,0.002239,,,,,,
-1.283334,0.858937,0.002572,,,,,,
-0.83759,0.828651,0.00003,,,,,,
0.198197,0.854461,0.001739,,,,,,
1.038657,0.833641,0.001111,,,,,,
