Title:,Healthy,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.060999,0.894866,0.004943,,,,,,
-0.058596,0.883335,0.002449,,,,,,
-0.243159,0.878404,0.002773,,,,,,
-0.278907,0.879787,0.003805,,,,,,
-0.092462,0.883297,0.00289,,,,,,
0.184828,0.882831,0.005996,,,,,,
0.426348,0.882106,0.001738,,,,,,
0.527009,0.881528,0.00398,,,,,,
0.345886,0.881664,0.004019,,,,,,
0.148342,0.881625,0.003191,,,,,,
0.008555,0.881245,0.003109,,,,,,
-0.120355,0.881258,0.00293,,,,,,
-0.24628,0.879281,0.001935,,,,,,
-0.231261,0.88124,0.002443,,,,,,
-0.1057,0.87744,0.001817,,,,,,
-0.06962,0.865335,0.003729,,,,,,
-0.062523,0.866233,0.001499,,,,,,
-0.058548,0.865458,0.002659,,,,,,
-0.082766,0.865621,0.001977,,,,,,
-0.125336,0.863178,0.003157,,,,,,
-0.059145,0.859676,0.001998,,,,,,
0.048853,0.857912,0.001065,,,,,,
0.245151,0.858518,0.003055,,,,,,
0.416301,0.862908,0.001833,,,,,,
0.472942,0.868647,0.004859,,,,,,
0.33812,0.867436,0.001796,,,,,,
0.082714,0.871787,0.002344,,,,,,
-0.084366,0.873151,0.001406,,,,,,
-0.234476,0.872694,0.000818,,,,,,
-0.249788,0.874265,0.002398,,,,,,
-0.07783,0.874463,0.000869,,,,,,
-0.040058,0.878472,0.00349,,,,,,
-0.313667,0.884745,0.000267,,,,,,
-0.492924,0.894367,-0.001371,,,,,,
-0.450404,0.897546,0.001152,,,,,,
-0.260078,0.900606,0.001488,,,,,,
0.13671,0.897068,-0.003489,,,,,,
0.539486,0.899848,0.00205,,,,,,
0.592505,0.888427,0.001171,,,,,,
0.323801,0.889822,0.000271,,,,,,
0.113686,0.883281,0.000885,,,,,,
0.00326,0.901998,-0.001521,,,,,,
-0.013814,0.884963,0.000275,,,,,,
0.153188,0.909723,0.002152,,,,,,
0.165909,0.885105,0.001369,,,,,,
0.019957,0.912789,0.006701,,,,,,
-0.363893,0.875739,0.002828,,,,,,
-0.673863,0.909986,0.003698,,,,,,
-0.680765,0.849954,0.003606,,,,,,
-0.31644,0.893766,0.001825,,,,,,
0.099109,0.833475,0.002315,,,,,,
0.354255,0.905295,0.002091,,,,,,
0.389009,0.817986,0.005772,,,,,,
0.251284,0.921403,0.00361,,,,,,
0.040143,0.7926,0.003397,,,,,,
-0.010626,0.93948,0.003877,,,,,,
0.123008,0.747038,0.004476,,,,,,
0.358239,1.007307,0.002572,,,,,,
0.424108,0.646176,0.004325,,,,,,
0.305768,1.271321,0.002889,,,,,,
-0.047471,-1.036494,0.00151,,,,,,
-0.299261,-5.766937,0.002297,,,,,,
-0.439965,-5.116276,0.003717,,,,,,
-0.576282,-5.507095,0.00307,,,,,,
-0.494642,-5.227654,0.002733,,,,,,
-0.211542,-5.44466,0.006753,,,,,,
0.003861,-5.261132,0.003527,,,,,,
0.115029,-5.416363,0.006393,,,,,,
0.215568,-5.275959,0.005973,,,,,,
0.240643,-5.409437,0.002246,,,,,,
0.197782,-5.289736,0.004416,,,,,,
0.155665,-5.411699,0.003235,,,,,,
0.189938,-5.284519,0.001858,,,,,,
